TV,Radio,Social_Media,Influencer,Sales
68.00,22.389686840,1.506105779,Micro,243.08166320
43.00,8.573864534,3.298362157,Micro,156.95375190
18.00,8.477135293,0.608817354,Mega,61.70848657
84.00,33.955619300,4.479871088,Nano,299.34660370
61.00,28.385187160,6.157704568,Micro,222.45076010
24.00,11.886437950,1.558209074,Micro,82.54907175
41.00,8.715248318,0.181466489,Nano,144.59208690
67.00,18.304641110,4.895171905,Micro,234.02117700
51.00,24.006925740,4.152022007,Nano,183.32773510
100.00,36.734134890,7.359714283,Micro,354.10396970
44.00,18.947954990,2.229813818,Micro,160.57963880
10.00,0.758569411,0.527880863,Nano,35.54799802
21.00,1.397371107,1.444591132,Nano,77.54794767
32.00,5.471955572,0.672964457,Micro,110.37486360
98.00,31.363914640,5.657550436,Nano,351.42667210
39.00,4.856123013,0.874163256,Macro,131.07725450
40.00,19.639063060,0.795725948,Micro,146.14568620
44.00,19.015374560,6.543306951,Mega,153.58222560
49.00,24.871049340,5.036281432,Nano,174.98616390
78.00,30.117265330,3.357794085,Macro,278.95515300
49.00,20.423654680,4.346777364,Mega,178.37467670
55.00,22.374782990,5.066577857,Mega,197.01113720
73.00,22.867376080,0.968984226,Nano,261.09088180
58.00,17.398775060,4.007447145,Nano,204.09903500
82.00,23.434787080,5.914866129,Micro,288.02074520
27.00,10.333530470,1.130122514,Macro,97.61236339
94.00,29.344609850,3.436481014,Mega,336.37261610
69.00,23.290451090,5.671686076,Mega,245.97996100
94.00,37.097055210,7.596290451,Nano,334.64379300
70.00,23.808568370,3.766603039,Micro,246.49479880
88.00,27.461493430,1.524062069,Macro,312.14296350
64.00,23.081488050,3.056298128,Macro,219.56818410
39.00,11.782542650,2.956726836,Micro,138.37530780
99.00,37.732411440,7.724052730,Macro,349.04833660
94.00,30.498156940,8.823311925,Macro,331.48409350
36.00,8.840112507,0.962941668,Nano,125.38706450
78.00,26.406764940,2.475101624,Macro,271.02643760
44.00,6.313173395,1.310027864,Macro,152.83125370
79.00,27.883206540,7.467941688,Nano,282.74809850
26.00,15.266733060,2.205879856,Macro,88.96782897
17.00,8.197932469,2.119872253,Mega,63.25378214
13.00,8.077501591,0.013230147,Nano,48.30375112
12.00,3.556576557,0.360014914,Micro,37.24327179
11.00,3.785254654,1.569644569,Micro,45.55251127
39.00,13.221237360,3.660566126,Micro,135.77315140
86.00,27.148172770,4.409399375,Nano,308.39304920
76.00,26.192673290,4.127600897,Macro,269.60300590
33.00,13.365867350,0.012138363,Macro,116.23749670
83.00,28.409153380,4.085216067,Micro,292.85716800
37.00,10.252916210,0.865328720,Nano,135.53007890
92.00,16.703768920,1.888403291,Macro,325.51371070
100.00,32.920194000,9.904286084,Nano,357.12457320
94.00,30.372705950,5.946112930,Mega,334.08923790
27.00,3.438824491,0.749518789,Mega,97.50795879
53.00,19.044503250,2.715095722,Macro,191.61804020
73.00,28.464597600,5.545684409,Mega,256.42522580
78.00,26.394070080,3.837369880,Mega,279.59063870
59.00,25.687286520,6.903109247,Macro,209.89565380
44.00,15.726339810,5.470316628,Mega,159.63094410
82.00,33.674695310,8.243045066,Nano,290.01984780
47.00,14.162324380,4.388114516,Nano,170.12618720
22.00,3.598474281,4.325620528,Micro,78.81257166
78.00,24.890282940,3.531093274,Macro,277.09407130
15.00,9.809647258,2.175099221,Macro,51.15173712
78.00,36.134779320,6.812528936,Micro,275.81541260
63.00,19.102043330,4.773049696,Micro,225.79171500
45.00,12.227399610,1.306053839,Nano,162.30390630
31.00,8.843924649,0.104810858,Micro,111.12774880
23.00,2.201752448,0.376547887,Nano,80.45443519
19.00,4.894410734,0.147196027,Macro,69.99070666
40.00,11.907892510,1.958036191,Nano,138.67699790
35.00,5.392624287,0.020639976,Macro,118.50115670
63.00,20.774681720,6.259153285,Micro,229.09032370
78.00,23.809591390,1.915047092,Nano,276.91906260
91.00,22.276713740,3.290079821,Mega,322.66776520
44.00,16.609314020,5.159066630,Mega,157.49007200
16.00,12.251357620,1.463118167,Mega,56.81533661
40.00,12.708406300,5.838251913,Nano,139.79239400
60.00,21.438889570,3.147751404,Nano,212.16911890
49.00,16.319036680,0.463311511,Micro,177.50255090
71.00,26.023949360,3.116428483,Mega,253.98610990
59.00,21.272912110,3.385121455,Nano,215.90548230
92.00,33.295859580,1.229454172,Macro,327.65364390
60.00,19.015587160,5.895165277,Mega,214.45761380
28.00,10.932008570,1.867646115,Nano,97.20055286
29.00,9.197032332,3.246667727,Micro,99.10933661
97.00,31.707010110,4.365166691,Nano,347.15475990
11.00,9.398839224,3.206508472,Mega,41.35123045
49.00,13.761983170,2.502653025,Nano,173.15509120
38.00,4.338843042,0.028073247,Mega,139.83436460
18.00,12.384478140,1.637157501,Nano,65.12530400
42.00,10.019034720,0.191093711,Nano,152.94960290
76.00,32.319263720,6.494517858,Mega,270.63785110
86.00,29.919627030,6.312902998,Mega,303.60964650
70.00,30.473887380,5.704360367,Nano,248.05148290
69.00,24.362460640,5.463176008,Macro,239.73289320
47.00,14.595169940,0.573235814,Nano,162.14795370
46.00,17.874831660,3.918941935,Micro,167.53322590
98.00,33.555674400,5.401715328,Micro,343.70470690
63.00,18.317213050,5.106410106,Mega,222.45380870
66.00,15.810076710,0.495169721,Mega,229.55825120
76.00,21.430250180,3.608351353,Nano,269.03732610
12.00,12.848279760,2.810375342,Nano,42.65152205
75.00,38.271431990,8.586450249,Micro,263.52381270
85.00,25.241817070,5.969538042,Nano,296.24859960
12.00,3.188668313,0.276135877,Nano,46.84859882
90.00,33.511775100,4.663526779,Macro,322.46975560
88.00,35.455190900,4.091396616,Macro,312.31076980
35.00,18.814726520,3.041468747,Mega,123.95214110
89.00,26.118061080,4.020019107,Nano,320.58829540
54.00,22.450015050,3.389499568,Nano,188.82864450
16.00,1.095054697,1.784711655,Mega,55.33417257
98.00,32.079094390,4.158338824,Mega,342.65222820
23.00,7.989787362,0.508955059,Mega,84.70733843
93.00,33.747426610,2.798053240,Mega,333.07736970
52.00,17.452880440,3.909853584,Nano,188.11637620
27.00,8.301393097,0.297735659,Mega,98.16192205
13.00,5.358821718,3.103557138,Nano,47.50814092
83.00,21.936012480,4.436259637,Micro,294.49333530
66.00,21.578233480,8.874237650,Macro,231.99429260
19.00,7.789507227,4.067821990,Macro,62.07952450
85.00,23.773461220,4.542661031,Mega,304.90421520
63.00,19.719066240,5.481915242,Nano,220.70612990
62.00,25.079081120,5.066101233,Nano,225.46952600
45.00,15.537328960,0.125813206,Mega,157.68729810
23.00,6.621635323,0.113631173,Mega,79.93998662
50.00,11.363987010,2.321295860,Mega,185.31029270
60.00,19.499956480,4.912336165,Macro,216.26815670
25.00,13.004551490,5.277124394,Micro,91.95954527
31.00,12.225965910,0.397207276,Macro,111.14310620
77.00,21.031965360,1.867288130,Micro,275.38867340
27.00,9.235845656,2.963209488,Nano,93.35175941
77.00,25.583439650,3.870991902,Macro,276.08389780
95.00,25.546367690,1.963490079,Micro,333.36825470
48.00,25.377231030,3.997027881,Micro,172.88545920
14.00,4.643175727,0.637375788,Micro,53.97461493
24.00,4.014313143,1.258968767,Macro,91.49656896
65.00,23.290310050,7.389827731,Mega,229.19697420
35.00,9.531452188,0.103503553,Nano,125.33934150
86.00,24.293203140,8.041212299,Micro,306.60658750
48.00,14.418753280,3.117413536,Nano,170.28331590
59.00,19.340864310,1.602340512,Micro,210.57177030
88.00,26.300656560,4.204039947,Nano,314.18054720
78.00,23.322451210,3.866739527,Mega,280.83162390
79.00,31.057408640,3.806952761,Micro,286.67750800
22.00,1.060644401,1.093882341,Macro,73.09318596
46.00,17.613330150,3.480429694,Macro,160.61509050
83.00,23.778982680,2.930681192,Micro,295.49152710
26.00,12.105376180,4.007434704,Macro,94.00245512
34.00,2.089999917,0.217752116,Nano,123.12192610
50.00,3.497200302,3.337071447,Nano,174.74503260
79.00,19.155844060,0.014711851,Macro,281.59288980
75.00,25.271944020,7.717105296,Nano,267.80360970
32.00,13.457460310,0.917656120,Mega,116.78384440
29.00,9.487993613,0.250432849,Micro,105.77670790
96.00,36.723077450,3.950392592,Nano,343.08774650
74.00,27.963295390,2.837584957,Nano,258.37542650
49.00,20.265857230,3.446132597,Micro,171.85666750
34.00,16.856782930,3.886005263,Mega,118.91638360
37.00,12.228716010,1.749290106,Mega,129.01483880
37.00,8.823525102,3.405839489,Mega,132.54961460
59.00,15.292050060,3.340436207,Macro,208.27445160
48.00,14.115617050,3.328378357,Mega,175.54615810
80.00,24.554634810,4.832325799,Micro,285.59623290
28.00,5.313706473,2.473598787,Nano,91.49752891
64.00,25.528282520,3.140870036,Nano,226.27696500
50.00,21.174804210,4.486404533,Macro,180.31953650
46.00,18.548421270,2.455582940,Nano,164.75620340
86.00,24.786244040,6.349962293,Mega,309.20432740
69.00,29.594402060,8.243715012,Nano,246.09151900
85.00,29.501022230,2.518222112,Mega,300.55844580
52.00,9.837592493,2.080182174,Macro,183.71187440
54.00,17.443045270,5.549219531,Nano,191.00347330
17.00,2.249203812,0.395150251,Nano,61.86530832
93.00,26.502816490,3.537618612,Mega,331.64785880
85.00,24.483979160,5.918985615,Micro,297.05649090
21.00,1.505943316,2.438904189,Mega,73.87341975
88.00,37.969296950,4.739682162,Macro,314.31136700
75.00,29.484234700,7.237783972,Nano,268.79978220
38.00,3.046308751,1.743629417,Macro,132.32603780
95.00,36.365701980,1.944664898,Macro,339.11527800
46.00,25.281999380,2.798757505,Mega,163.63962140
75.00,26.075498620,5.143706423,Mega,269.44499390
64.00,10.930899310,3.085375073,Mega,225.06405480
35.00,8.978475946,0.053626990,Nano,125.32892430
30.00,6.122317863,2.606806497,Mega,104.52468070
86.00,27.738005830,5.293540405,Macro,307.89333180
79.00,23.183452950,0.762159967,Nano,282.71085460
16.00,16.924171110,6.447476349,Nano,54.65466518
63.00,22.816075130,4.717042117,Nano,228.42413050
78.00,22.768109310,2.964101681,Micro,277.39933070
24.00,12.794484470,3.973162998,Nano,86.22925533
34.00,14.445354540,1.270283967,Nano,124.59570700
36.00,14.758679750,0.807413059,Micro,125.07368650
64.00,17.617141440,5.116676896,Micro,228.54247050
79.00,37.379036650,4.767527236,Macro,281.11479250
11.00,7.228354408,5.250181854,Micro,46.52969738
22.00,5.120816808,2.205299711,Micro,74.74160402
46.00,3.159829936,4.261809686,Nano,161.18295470
49.00,15.445522560,0.062410122,Mega,174.55676100
39.00,8.437964502,2.926366891,Mega,141.59008680
38.00,0.857280644,0.218739353,Nano,137.69736900
23.00,4.037914202,2.876505548,Micro,78.65146156
17.00,8.482697909,0.946148453,Nano,58.92532301
57.00,17.509373760,3.912910486,Macro,204.45338060
24.00,8.822604644,0.388314589,Mega,86.78602638
38.00,13.973811570,2.937255499,Nano,133.38762690
55.00,13.236751420,0.603918273,Mega,199.13169650
84.00,27.933523430,3.978525877,Macro,300.56783070
23.00,3.424421953,1.254887329,Nano,82.71102545
25.00,21.571600340,0.182594127,Micro,89.09324510
61.00,24.026701530,4.468540014,Macro,214.50673840
92.00,36.281394100,7.693023889,Mega,334.25482310
52.00,14.718757810,5.067918073,Micro,184.28326750
42.00,25.043443010,7.954162784,Macro,151.13022680
87.00,26.263446060,4.666254350,Mega,314.08677560
23.00,3.511058483,1.668667492,Nano,82.12965750
16.00,1.114215614,0.124305507,Micro,55.74975786
97.00,31.597585820,6.096167030,Macro,345.60024120
83.00,22.123183890,4.548473435,Mega,301.02133970
32.00,7.235169671,4.165978174,Micro,114.22255150
81.00,30.516785520,4.253765851,Mega,286.33617470
81.00,35.744008620,8.485579310,Mega,290.19918270
32.00,9.445032076,0.904710414,Nano,115.35924350
24.00,11.041007730,0.581803233,Nano,82.90996955
93.00,28.274657690,2.404138725,Mega,328.32173430
52.00,20.597441920,5.687517289,Mega,183.61200120
21.00,2.027718364,0.542771430,Nano,70.90876724
15.00,7.888210849,3.998362072,Macro,53.54400783
62.00,19.939749430,1.581668395,Mega,222.46924770
45.00,14.765146660,4.973730489,Mega,159.81159530
84.00,29.281035830,4.182346523,Micro,300.75393310
12.00,8.466708970,4.076583625,Mega,41.86991628
66.00,23.162597640,2.051333546,Mega,238.37143780
71.00,21.684785210,4.362889043,Mega,253.46132770
30.00,2.763161925,1.491292036,Nano,108.70799010
96.00,36.136794660,8.724352447,Nano,340.79798190
81.00,36.010622770,9.307983043,Micro,291.87025020
61.00,13.623839170,1.081630027,Mega,218.79674230
88.00,31.296566800,6.268563747,Nano,312.23363020
95.00,25.721702470,3.653918832,Micro,338.72656510
32.00,17.778745580,6.010796578,Macro,108.83526520
23.00,3.159149146,1.838038355,Mega,84.46857638
19.00,11.843083840,1.411744529,Macro,63.78917282
99.00,35.308148160,8.233628806,Macro,347.88213930
21.00,17.728498060,1.316670346,Micro,72.79319186
83.00,22.647669910,1.815303053,Macro,294.37293290
34.00,9.529038854,0.046324514,Macro,122.39803100
65.00,21.828682040,3.852364912,Macro,226.06809830
42.00,11.666852280,3.124114188,Nano,147.67032060
28.00,11.742885880,1.545790536,Nano,108.65424110
84.00,23.158837780,6.493394974,Macro,301.97968880
74.00,31.200631840,5.956147638,Macro,262.00000870
58.00,31.499367760,5.374436820,Micro,203.05789450
63.00,21.792805700,0.393588978,Nano,223.84189470
46.00,21.959809330,0.880593234,Micro,164.79101400
51.00,24.916486190,4.628289393,Mega,180.37460860
42.00,9.352963721,0.606126647,Mega,146.35778530
98.00,31.289775500,4.623306125,Nano,343.94008590
18.00,10.137814430,3.181971706,Macro,66.54840294
72.00,19.464389290,1.767531142,Nano,258.01783650
90.00,29.941901760,8.348998109,Mega,320.71534440
47.00,13.854706070,3.723619480,Macro,167.08739580
11.00,15.259655830,1.938091205,Micro,42.71995548
59.00,13.021387200,3.264331675,Micro,211.07777340
49.00,15.758742510,1.621958375,Macro,173.09911720
51.00,23.287727760,6.650243242,Mega,178.29812830
49.00,23.082459940,5.745417559,Macro,173.72724560
88.00,25.781362300,5.715407905,Macro,313.65733910
49.00,15.441920800,0.064057634,Mega,175.73082680
21.00,5.092818753,1.400162555,Mega,81.00013719
84.00,33.492218790,9.638966346,Nano,297.48681650
13.00,4.027757616,0.216286524,Micro,44.06889906
55.00,11.313639360,1.457213766,Nano,192.80006190
73.00,18.966362140,4.058402635,Mega,260.89044760
47.00,19.831380830,2.825675852,Micro,170.97933600
34.00,16.279259700,5.187613793,Macro,119.47277490
98.00,26.230756580,4.307673455,Mega,347.57473970
72.00,29.401839960,0.883780673,Micro,255.28290280
59.00,28.351023740,6.541167803,Macro,210.39987070
88.00,33.992322280,5.781691282,Mega,311.60775160
94.00,31.213149270,6.894316975,Nano,334.32057570
55.00,13.727298820,3.332910977,Nano,201.15684190
23.00,10.725530380,0.564039183,Nano,80.78641866
63.00,16.100845620,3.055372489,Micro,224.19789860
31.00,7.047015203,4.181179206,Nano,107.97279100
29.00,11.535454760,3.916642740,Micro,103.88232370
100.00,38.470628830,5.793620023,Macro,358.35053860
21.00,6.286843929,0.131835820,Macro,71.40097342
15.00,0.388039549,1.104823047,Macro,52.03837385
63.00,13.476898760,3.355966243,Macro,226.13542470
43.00,27.200068490,8.702652377,Mega,153.65672120
97.00,42.331654350,8.486323788,Mega,348.39273630
19.00,9.057538981,1.480035413,Macro,69.36480656
100.00,32.400653110,3.784145331,Nano,355.05162620
62.00,11.563127360,1.926692956,Mega,220.60924210
37.00,7.258206804,4.582012220,Nano,131.73055480
88.00,25.026559620,4.133996812,Nano,314.94547260
33.00,8.177614367,3.447205649,Nano,119.40058460
37.00,5.264623343,2.531732224,Nano,130.95915880
66.00,23.915395800,3.955480444,Mega,240.69292680
79.00,20.556385710,2.577389220,Macro,281.29539570
67.00,27.533560570,10.453920750,Macro,242.58737060
43.00,14.106229440,0.750124734,Macro,146.53211160
61.00,27.241369910,4.250422344,Nano,214.43673760
81.00,30.661253730,7.211115245,Micro,291.14355710
17.00,8.797291422,2.409158219,Macro,61.21910758
90.00,25.225666440,3.061937926,Micro,321.07011370
16.00,5.735731245,2.354334527,Macro,58.20951843
68.00,19.776179830,3.217632434,Micro,240.80300930
90.00,32.725478320,8.829536236,Mega,319.43752630
61.00,22.239345760,8.194791170,Macro,214.39644260
32.00,10.579929820,0.064459595,Mega,117.02071610
29.00,12.995866410,0.270843681,Nano,107.45457290
92.00,31.461292300,1.744870623,Micro,330.01476030
82.00,29.601113860,6.481908539,Macro,292.20985850
24.00,7.474270640,0.440111075,Mega,84.23363563
45.00,18.097007170,0.102153377,Micro,160.43510380
81.00,24.062074960,1.540092049,Nano,292.54653060
90.00,28.165020690,6.919147460,Mega,322.23342260
62.00,27.598909850,3.606600914,Nano,218.20209150
43.00,17.655444440,2.395348967,Micro,154.22617060
68.00,19.131419210,6.834952137,Micro,240.22686400
20.00,6.416720778,2.258860613,Nano,66.76720286
45.00,6.359354009,0.704366800,Mega,159.70733650
60.00,15.527662210,2.055274228,Macro,210.90516850
17.00,9.150564563,4.636304292,Macro,56.48493055
22.00,20.346734910,5.491167097,Mega,76.96167134
24.00,4.799850688,0.570028459,Macro,90.33315235
56.00,17.736733830,2.094383195,Micro,201.02153850
36.00,6.101045822,3.262967852,Micro,136.93972660
15.00,3.518069641,2.293790324,Micro,55.26128448
44.00,15.669266620,1.086781261,Nano,153.11717570
26.00,17.836649740,5.109696734,Micro,91.75121422
100.00,37.403986000,6.441653552,Nano,354.57240210
21.00,5.417999563,4.626973896,Mega,72.73897901
62.00,26.586277290,4.520665601,Micro,222.12298100
41.00,12.501604070,1.247269966,Macro,148.49179210
85.00,36.077756400,11.403625040,Macro,304.97062550
88.00,31.023027380,7.352545034,Macro,318.14953600
25.00,5.384656349,0.631990730,Mega,83.57435437
14.00,7.388485707,0.120490397,Mega,49.97649711
100.00,31.359030370,6.512735644,Macro,355.52445460
42.00,7.277728631,0.277136782,Macro,146.93729150
54.00,21.469408810,1.186421596,Macro,197.66585470
23.00,10.051414810,0.156850984,Micro,82.31998650
44.00,12.019347060,4.631654336,Nano,160.05229490
46.00,17.782609170,3.773452773,Macro,170.78132510
69.00,28.000481040,7.370702567,Micro,243.09101980
55.00,19.955729230,5.245123382,Micro,197.73532910
40.00,9.100429136,2.705529895,Macro,147.59357290
40.00,13.931036200,3.935940555,Nano,143.17288850
48.00,16.360001050,3.914305454,Macro,166.61820430
70.00,17.067614980,3.299867282,Macro,248.66828400
99.00,24.978442920,2.640894757,Macro,355.52530570
72.00,24.183585390,4.736877628,Mega,249.42796280
49.00,12.072169870,4.381532375,Macro,176.83552550
74.00,26.312313510,5.591730811,Macro,264.54472230
17.00,6.837294843,2.314950178,Macro,61.65362493
88.00,30.245765520,6.376378066,Macro,313.26045930
61.00,26.666744180,3.698028588,Micro,215.79729850
13.00,7.430197108,1.294086175,Micro,44.84905295
45.00,18.806084050,1.052299168,Nano,156.57416220
50.00,9.960473773,0.904872702,Micro,179.72505720
33.00,23.179951620,4.492850796,Macro,120.65529430
12.00,1.228081695,1.523414744,Macro,33.50980953
35.00,13.942331650,1.387046445,Mega,123.55295940
60.00,29.732540050,2.012395320,Mega,212.60205470
29.00,10.377257890,0.061983883,Mega,102.77479050
93.00,37.347782160,8.278557955,Nano,333.87429280
58.00,14.757419850,1.887767552,Mega,208.89634010
52.00,25.300558710,2.365394438,Mega,186.34286200
26.00,1.218353879,1.270443869,Micro,90.05422241
68.00,21.076963950,1.240824206,Macro,247.31668420
70.00,22.950871300,5.688322892,Mega,251.13003260
74.00,29.203181440,5.343637998,Mega,265.69490030
28.00,15.732501280,7.952641069,Mega,101.23981920
97.00,34.855167990,8.128920858,Macro,349.27866940
61.00,17.999667630,0.689676121,Nano,210.80504420
25.00,8.466518679,0.648548340,Mega,89.25059861
73.00,15.850810950,3.055215876,Mega,262.64173010
29.00,18.184803380,1.570359462,Macro,102.53343080
67.00,12.849485870,3.413281045,Mega,237.55999200
89.00,33.391879310,6.297544404,Mega,319.44717220
31.00,14.300824340,2.954928662,Nano,109.77454960
55.00,10.569174990,2.990738288,Mega,194.99744580
97.00,34.030915960,4.107471029,Mega,349.62902750
96.00,38.349827280,5.625677284,Nano,343.71615690
21.00,6.701206992,0.886158100,Macro,73.72119644
75.00,27.694576860,6.330322063,Mega,264.95038750
28.00,7.462653670,2.487820224,Micro,100.22515310
47.00,15.892860290,2.001411881,Mega,167.72466840
95.00,43.129331670,10.174983490,Micro,339.87173230
13.00,1.311583983,0.917868930,Micro,48.23208285
28.00,12.990506020,3.381622724,Micro,98.90352508
99.00,36.876301840,7.618605058,Mega,351.80732810
